Semana,Tweets
1,23
2,18
3,28
4,30
5,19
6,9
7,19
8,20
9,29
10,20
11,34
12,17
13,22
14,9
15,9
16,6
19,6
20,27
21,14
22,21
23,8
24,8
25,19
26,11
27,16
28,14
29,17
30,9
31,12
32,8
33,4
34,4
35,7
36,6
37,18
38,15
39,6
40,5
41,6
42,8
43,32
44,28
45,12
46,6
47,11
48,10
49,5
50,7
51,6
52,3
53,9
54,8
55,15
56,8
57,6
58,9
59,6
60,4
61,5
62,3
63,4
64,5
65,10
66,4
67,4
68,7
69,4
